Output_title,Group_Title,Chair_s,Group_Type,DOI,Output_Status,Review_period_starts,Review_period_ends,Description,Primary_WG_Focus_Output_focus,Primary_Domain_Field_of_Expertise,Recommendation_Card,Adoption_Story_Title
Sharing COVID-19 Epidemiology Data,RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,10.15497/rda00049  ,RDA Supporting Outputs,31/08/2020,21/09/2020,"An immediate understanding of the COVID-19 disease epidemiology is crucial to slowing infections, minimizing deaths, and making informed decisions about when, and to what extent, to impose mitigation measures, and when and how to reopen society.
",NA,Medical and Health Sciences,https://www.rd-alliance.org/sites/default/files/Sharing%20COVID-19%20Epidemiology%20Data.pdf,NA
Top 10 FAIR Data & Software Things,Libraries for Research Data IG,"Birgit Schmidt, Christopher Erdmann, Su Nee Goh, Naresh Kumar, Tim Dennis, Jennifer Gu, Susanna Nykyri",Interest Group,10.5281/zenodo.2555497,RDA Supporting Outputs,19/05/2020,19/06/2020,"The Top 10 FAIR Data & Software Things are brief guides (stand alone, self paced training materials), called ""Things"", that can be used by the research community to understand how they can make their research (data and software) more FAIR (Findable, Accessible, Interoperable and Reusable).
",NA,NA,https://www.rd-alliance.org/sites/default/files/Top%2010%20FAIR%20Data.pdf,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA-COVID19-Clinical,"Sergio Bonini, Dawei Lin, Andrea Jackson Dipina, Anne Cambon-Thomsen",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA-COVID19-Community-participation,"Daniel Mietchen, Eva Méndez, Timea Biro, Sarah Jones, Kheeran Dharmawardena, Susanna-Assunta Sansone, Joanne Stocks",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA COVID19-Legal-Ethical,Anne Cambon-Thomsen,Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA-COVID19-Omics,"Natalie Meyers, Rob Hooft, Juan Bicarregui",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA-COVID19-Social-Sciences,"Ingrid Dillo, Iryna Kuchma, Amy Pienta",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA-COVID19-Software,"Michelle Barker, Hugh Shanahan, Fotis Psomopoulos",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA COVID-19,"Juan Bicarregui, Anne Cambon-Thomsen, Ingrid Dillo, Natalie Harrower, Sarah Jones, Mark Leggott, Priyanka Pillai",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
RDA COVID-19 Guidelines and Recommendations (draft versions),RDA COVID-19 Epidemiology,"Claire Austin, Rajini Nagrani, Priyanka Pillai",Working Group,NA,Other Outputs (Not official),24/04/2020,8/6/2020,"Please note:  this is the landing page for the 5 draft versions of the RDA COVID-19 Working Group Recommendations and Guidelines on Data Sharing. These materials are made available following the RDA guiding principle of openness, to allow members and the wider community to view the progression of the document as well as comments received during the 5 review cycles. 
The final version of the document can be found:",NA,"Social Sciences, Medical and Health Sciences, Humanities",NA,NA
Scholix Metadata Schema for Exchange of Scholarly Communication Links,RDA/WDS Scholarly Link Exchange (Scholix) WG,"Helena Cousijn, Paolo Manghi, Rachael Lammey, Lorenzo Feri",Working Group,NA,RDA Endorsed Recommendations,20/04/2020,20/05/2020,"The Scholix framework together with the DLI aggregation are designed to enable other 3rd party services (domain-specific aggregations, integrations with other global services, discovery tools, impact assessments etc).
Scholix is an evolving lightweight set of guidelines to increase interoperability.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Scholix%20Metadata%20Schema.pdf,"Improving scholarly communication, linking datasets from institutional repositories with ScholeXplorer."
Scholix Metadata Schema for Exchange of Scholarly Communication Links,RDA/WDS Scholarly Link Exchange (Scholix) WG,"Helena Cousijn, Paolo Manghi, Rachael Lammey, Lorenzo Feri",Working Group,NA,RDA Endorsed Recommendations,20/04/2020,20/05/2020,"The Scholix framework together with the DLI aggregation are designed to enable other 3rd party services (domain-specific aggregations, integrations with other global services, discovery tools, impact assessments etc).
Scholix is an evolving lightweight set of guidelines to increase interoperability.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Scholix%20Metadata%20Schema.pdf,Scaling article/data linking infrastructure using the Scholix framework 
Scholix Metadata Schema for Exchange of Scholarly Communication Links,RDA/WDS Scholarly Link Exchange (Scholix) WG,"Helena Cousijn, Paolo Manghi, Rachael Lammey, Lorenzo Feri",Working Group,NA,RDA Endorsed Recommendations,20/04/2020,20/05/2020,"The Scholix framework together with the DLI aggregation are designed to enable other 3rd party services (domain-specific aggregations, integrations with other global services, discovery tools, impact assessments etc).
Scholix is an evolving lightweight set of guidelines to increase interoperability.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Scholix%20Metadata%20Schema.pdf,Curating a research institutional scholarly record connecting externally deposited datasets.
FAIR Data Maturity Model specification and guidelines - draft,FAIR Data Maturity Model WG,"Edit Herczog, Keith Russell, Shelley Stall",Working Group,10.15497/rda00045,Other Outputs (Not official),14/04/2020,13/05/2020,"Findability, Accessibility, Interoperability and Reusability – the FAIR principles – intend to define a minimal set of related but independent and separable guiding principles and practices that enable both machines and humans to find, access, interoperate and re-use research data and metadata. The FAIR principles have to be considered as inspiring concepts but not strict rules. Unfortunately, they often lead to diverse interpretations and ambiguity.
",NA,NA,NA,NA
Principles and best practices in data versioning for all data sets big and small,Data Versioning IG,"Jens Klump, Lesley Wyborn, Mingfang Wu, Kirsten Elger",Interest Group,NA,RDA Supporting Outputs,28/01/2020,28/02/2020,"The demand for better reproducibility of research results is growing. More and more data is becoming available online. In some cases, the datasets have become so large that downloading the data is no longer feasible. Data can also be offered through web services and accessed on demand.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Principles%20and%20Best%20Practices%20in%20Data%20Versioning.pdf,NA
Compilation of Data Versioning Use cases from the RDA Data Versioning Working Group,Data Versioning IG,"Jens Klump, Lesley Wyborn, Mingfang Wu, Kirsten Elger",Interest Group,DOI: 10.15497/RDA00041,RDA Supporting Outputs,28/01/2020,28/02/2020,"Data versioning is a fundamental element to ensuring the reproducibility of research. Work in other RDA groups on data provenance and data citation, as well as the W3C Dataset Exchange Working Group, have highlighted that definitions of data versioning concepts and recommended practices are still missing.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Compilation%20of%20Data%20Versioning%20Use%20Cases.pdf,NA
Tromso recommendations for citation of research data in linguistics,Linguistics Data IG,"Andrea Berez-Kroeker, Helene N. Andreassen, Lindsay Ferrara",Interest Group,NA,RDA Supporting Outputs,4/12/2019,14/01/2020,"


Linguistics Data IG


Supporting Output Title: Tromsø recommendations for citation of research data in linguistics 


Impact: Provides guidance for citing linguistic data in publications to researchers, academic publishers and resource providers.

",NA,"Social Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/Card%20RDA_web_Tromso_recommendation_citation_linguistics_June2020.pdf,Supporting the Slovenian Scientific Publishing Field
RDA DMP Common Standard for Machine-actionable Data Management Plans,DMP Common Standards WG,"Marek Suchánek, Peter Neish, Tomasz Miksa",Working Group,10.15497/rda00039,RDA Endorsed Recommendations,2/12/2019,13/01/2020,"The DMP Common Standards WG has developed an application profile that allows to express information from traditional DMPs in a machine-actionable way. It allows for automatic exchange, integration, and validation of information provided in DMPs.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_DMPCommon_Standard_for_Machine-actionable_Data_Management_Plans_June2020.pdf,NSD DMP – enabling long-term preservation and sharing of research data
RDA DMP Common Standard for Machine-actionable Data Management Plans,DMP Common Standards WG,"Marek Suchánek, Peter Neish, Tomasz Miksa",Working Group,10.15497/rda00039,RDA Endorsed Recommendations,2/12/2019,13/01/2020,"The DMP Common Standards WG has developed an application profile that allows to express information from traditional DMPs in a machine-actionable way. It allows for automatic exchange, integration, and validation of information provided in DMPs.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_DMPCommon_Standard_for_Machine-actionable_Data_Management_Plans_June2020.pdf,Enabling machine actionability of Data Management Plans
RDA DMP Common Standard for Machine-actionable Data Management Plans,DMP Common Standards WG,"Marek Suchánek, Peter Neish, Tomasz Miksa",Working Group,10.15497/rda00039,RDA Endorsed Recommendations,2/12/2019,13/01/2020,"The DMP Common Standards WG has developed an application profile that allows to express information from traditional DMPs in a machine-actionable way. It allows for automatic exchange, integration, and validation of information provided in DMPs.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_DMPCommon_Standard_for_Machine-actionable_Data_Management_Plans_June2020.pdf,Embedding Research Data Management plans in ethics approval and funding application processes
RDA DMP Common Standard for Machine-actionable Data Management Plans,DMP Common Standards WG,"Marek Suchánek, Peter Neish, Tomasz Miksa",Working Group,10.15497/rda00039,RDA Endorsed Recommendations,2/12/2019,13/01/2020,"The DMP Common Standards WG has developed an application profile that allows to express information from traditional DMPs in a machine-actionable way. It allows for automatic exchange, integration, and validation of information provided in DMPs.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_DMPCommon_Standard_for_Machine-actionable_Data_Management_Plans_June2020.pdf,Implementing the DMP Common Standard on the Argos tool for maDMPs
Autenticação Federada no Dataverse,RDA in Brazil,"Bianca Amaro, LUIZ FAUTH, Patricia R. Bello Bertin, Vanessa Jorge, Leandro Neumann Ciuffo",National Groups,NA,Other Outputs (Not official),28/11/2019,NA,"Caros, no Dataverse de Harvard (https://dataverse.harvard.edu/) é possível autenticar com credenciais institucionais. Em conversa com o Jonathan Crabtree, da Global Dataverse Community Consortium (GDCC), ele confirmou que uma boa estratégia seria termos a implementação da autenticação federada brasileira, a CAFe, para os Dataverses institucionais nacionais. Assim, evitaríamos o retrabalho de criação e manutenção de novas contas além de permitir a colaboração da comunidade federada nacional.",NA,Engineering and Technology,NA,NA
Engaging Researchers with Data Management The Cookbook,Libraries for Research Data IG,"Birgit Schmidt, Christopher Erdmann, Su Nee Goh, Naresh Kumar, Tim Dennis, Jennifer Gu, Susanna Nykyri",Interest Group,DOI:  10.11647/OBP.0185 ,RDA Supporting Outputs,6/11/2019,6/12/2019,"Engaging Researchers with Data Management is an invaluable collection of 24 case studies, drawn from institutions across the globe, that demonstrate clearly and practically how to engage the research community with RDM. These case studies together illustrate the variety of innovative strategies research institutions have developed to engage with their researchers about managing research data.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card_RDA_Engaging_Researchers_with_Data_Management_The_Cookbook_June2020.pdf,NA
A curriculum for foundational Research Data Science skills for Early Career Researchers,RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World WG,"Andrew Harrison, Simon Hodson, Robert Quick, Hugh Shanahan",Working Group,10.15497/rda00038,RDA Endorsed Recommendations,11/10/2019,11/11/2019,"This recommendation describes the curriculum and example materials to give Early Career Researchers (ECR’s) the foundational skills in Data Science to work with their data. This curriculum combines technical skills, such as Software Carpentry with responsible research practices such as Open and Responsible Research.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Curriculum_for_foundational_Research_Data_Science_skills_for_Early_Career_Researchers_June2020.pdf,NA
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,Agrisemantics WG,"brandon whitehead, Caterina Caracciolo, Sophie Aubin",Working Group,doi.org/10.15497/RDA00036,RDA Endorsed Recommendations,17/07/2019,17/08/2019,"This document presents the recommendations of the RDA Agrisemantics Working Group (WG) to promote the use of semantics for agricultural data for the purpose of enhancing data interoperability in agriculture. These recommendations are high-level, to encourage researchers and practitioners to extend them according to their area of expertise. 
",NA,Agricultural Sciences,https://www.rd-alliance.org/sites/default/files/Card_RDA_39%20Hints_Facilitate_the_Use_of_Semantics_for_Data_AgricultureandNutrition_June2020.pdf,39 Hints to Facilitate the Use of Semantics for Data on Agriculture the Nutrition
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,Agrisemantics WG,"brandon whitehead, Caterina Caracciolo, Sophie Aubin",Working Group,doi.org/10.15497/RDA00036,RDA Endorsed Recommendations,17/07/2019,17/08/2019,"This document presents the recommendations of the RDA Agrisemantics Working Group (WG) to promote the use of semantics for agricultural data for the purpose of enhancing data interoperability in agriculture. These recommendations are high-level, to encourage researchers and practitioners to extend them according to their area of expertise. 
",NA,Agricultural Sciences,https://www.rd-alliance.org/sites/default/files/Card_RDA_39%20Hints_Facilitate_the_Use_of_Semantics_for_Data_AgricultureandNutrition_June2020.pdf,Data standards for Agriculture: INRA adoption of RDA Outputs
Results of an Analysis of Existing FAIR Assessment Tools,FAIR Data Maturity Model WG,"Edit Herczog, Keith Russell, Shelley Stall",Working Group,DOI: 10.15497/RDA00035,RDA Supporting Outputs,27/05/2019,27/06/2019,"This document is a first output of the FAIR Data Maturity Model WG. This resulted in five slide decks, combined in this pdf document, that make up this preliminary analysis.
The document was updated after the community review period, and the current version v3 is attached to this page. The previous version v0.02, which underwent the community review, is also available.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_FAIR_Assessment_Tools_June2020.pdf,NA
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,WDS/RDA Assessment of Data Fitness for Use WG,"Michael Diepenbroek, Claire Austin, Jonathan Petters, Marina Soares e Silva",Historical Group,doi.org/10.15497/RDA00034,RDA Supporting Outputs,19/06/2019,19/07/2019,"This statement describes the background, efforts and outputs of the WDS/RDA Assessment of Data Fitness for Use Working Group. This group was chartered to develop criteria, procedures for assessment of research data fitness for use, along with a means to communicate this assessment to others. It concluded with development of a) criteria for research dataset fitness for use compared against the CoreTrustSeal requirements and FAIR principles, and b) a checklist for evaluation of dataset for fitness for use meant to supplement the CoreTrustSeal Repository Certification process. The checklist carries with it numerous caveats that exemplify the broad landscape surrounding dataset fitness assessment that this working group has mapped.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card_RDA_WDS%3ARDA_Assessment_Of_Data_Fitness_For_Use_June2020.pdf,NA
Recommendation on PID Kernel Information,PID Kernel Information Profile Management WG,"Tobias Weigel, Beth Plale, Jens Klump",Historical Group,10.15497/rda00031,RDA Endorsed Recommendations,13/12/2018,20/01/2019,"Global middleware infrastructure is insufficient for robust data identification, discovery, and use. While infrastructure is emerging within sub-ecosystems such as the DOI ecosystem of services purposed for data and literature objects (i.e., DataCite, CHORUS, CrossRef), in general the layers of abstraction that have made the Internet so easy to build on, is lacking for data especially for computer (machine) automated services.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_PID_Kernel_single%2030.pdf,SEAGrid Science Gateway: Adoption of the PID Kernel Information and Data Type Registry Utilizing the Enhanced Robust Persistent Identification of Data (ERPID) Testbed toward FAIR Scientific Workflows
Federated Identity Management for Research Collaborations,Federated Identity Management IG,"Carlo Maria Zwölf, Hannah Short",Interest Group,NA,RDA Supporting Outputs,13/11/2018,13/12/2018,"This white-paper expresses common requirements of Research Communities seeking to leverage Identity Federation for Authentication and Authorisation.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card_RDA_Federated_Identity_Management_Research_Collaborations_June2020.pdf,NA
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies","FAIRsharing Registry: Connecting data policies, standards and databases RDA WG","Susanna-Assunta Sansone, Peter McQuilton, Simon Hodson, Holly Murray, Graham Smith, Allyson Lister, Rebecca Grant",Working Group,NA,RDA Endorsed Recommendations,11/10/2018,11/12/2018,"This document describes the outputs of a joint RDA-Force11 FAIRsharing WG: the FAIRsharing resource of interlinked records on standards (for identifying, reporting, citing data and metadata), databases (repositories and knowledge-bases) and data policies (from journals, publishers, funders and other organizations), ranging from the generic and multi-disciplinary, to those from specific domains. The FAIRsharing recommendations, to guide the users and producers of standards, databases and repositories on how to best select and describe these resources; and to guide funders and publishers on how to recommend them in data policies. These outputs are tightly bound together as the registry enacts the recommendations, through the provision of well-described and interlinked records, which are curated and maintained with the support and input of the producers of these resources.
",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/The%20FAIRsharing%20Registry_single%2019.pdf,Enabling open research publishing
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies","FAIRsharing Registry: Connecting data policies, standards and databases RDA WG","Susanna-Assunta Sansone, Peter McQuilton, Simon Hodson, Holly Murray, Graham Smith, Allyson Lister, Rebecca Grant",Working Group,NA,RDA Endorsed Recommendations,11/10/2018,11/12/2018,"This document describes the outputs of a joint RDA-Force11 FAIRsharing WG: the FAIRsharing resource of interlinked records on standards (for identifying, reporting, citing data and metadata), databases (repositories and knowledge-bases) and data policies (from journals, publishers, funders and other organizations), ranging from the generic and multi-disciplinary, to those from specific domains. The FAIRsharing recommendations, to guide the users and producers of standards, databases and repositories on how to best select and describe these resources; and to guide funders and publishers on how to recommend them in data policies. These outputs are tightly bound together as the registry enacts the recommendations, through the provision of well-described and interlinked records, which are curated and maintained with the support and input of the producers of these resources.
",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/The%20FAIRsharing%20Registry_single%2019.pdf,Supporting the Slovenian Scientific Publishing Field
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies","FAIRsharing Registry: Connecting data policies, standards and databases RDA WG","Susanna-Assunta Sansone, Peter McQuilton, Simon Hodson, Holly Murray, Graham Smith, Allyson Lister, Rebecca Grant",Working Group,NA,RDA Endorsed Recommendations,11/10/2018,11/12/2018,"This document describes the outputs of a joint RDA-Force11 FAIRsharing WG: the FAIRsharing resource of interlinked records on standards (for identifying, reporting, citing data and metadata), databases (repositories and knowledge-bases) and data policies (from journals, publishers, funders and other organizations), ranging from the generic and multi-disciplinary, to those from specific domains. The FAIRsharing recommendations, to guide the users and producers of standards, databases and repositories on how to best select and describe these resources; and to guide funders and publishers on how to recommend them in data policies. These outputs are tightly bound together as the registry enacts the recommendations, through the provision of well-described and interlinked records, which are curated and maintained with the support and input of the producers of these resources.
",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/The%20FAIRsharing%20Registry_single%2019.pdf,Fostering reproducible research. Supporting researchers to publish FAIR data alongside their scholarly publication 
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies","FAIRsharing Registry: Connecting data policies, standards and databases RDA WG","Susanna-Assunta Sansone, Peter McQuilton, Simon Hodson, Holly Murray, Graham Smith, Allyson Lister, Rebecca Grant",Working Group,NA,RDA Endorsed Recommendations,11/10/2018,11/12/2018,"This document describes the outputs of a joint RDA-Force11 FAIRsharing WG: the FAIRsharing resource of interlinked records on standards (for identifying, reporting, citing data and metadata), databases (repositories and knowledge-bases) and data policies (from journals, publishers, funders and other organizations), ranging from the generic and multi-disciplinary, to those from specific domains. The FAIRsharing recommendations, to guide the users and producers of standards, databases and repositories on how to best select and describe these resources; and to guide funders and publishers on how to recommend them in data policies. These outputs are tightly bound together as the registry enacts the recommendations, through the provision of well-described and interlinked records, which are curated and maintained with the support and input of the producers of these resources.
",NA,"Social Sciences, Natural Sciences, Engineering and Technology, Medical and Health Sciences, Agricultural Sciences, Humanities",https://www.rd-alliance.org/sites/default/files/The%20FAIRsharing%20Registry_single%2019.pdf,Data standards for Agriculture: INRA adoption of RDA Outputs
RDATDWG Attribution Metadata Working Group Final Recommendations,RDA / TDWG Metadata Standards for attribution of physical and digital collections stewardship,"Anne Thessen, Matt Woodburn, Dimitris Koureas",Working Group,NA,RDA Endorsed Recommendations,31/08/2018,30/09/2018,"Research collections are an important tool for understanding the Earth, its systems, and human interaction. Despite the importance of collections, many are not maintained or curated as thoroughly as they should. Part of the reason for this is the lack of professional reward for curation, maintenance, or collection. To address this gap in attribution metadata, this Working Group recommends the use of PROV entities and properties to link people (Agent), the curatorial actions they perform (Activity), and the digital or physical objects they are curating (Entity). Assigning a Role to an Agent is optional. These recommendations are discussed in the context of the RDA and existing standards. A separate technical document gives specific examples of three use cases as RDF Turtle representations and diagrams.
",NA,NA,https://www.rd-alliance.org/sites/default/files/RDA%3ATDWG_single%2031.pdf,FAIR Digital Object and Natural Science Collections data 
Persistent identifiers Consolidated assertions,FAIR Digital Object Fabric IG,"Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",Interest Group,NA,RDA Supporting Outputs,20/07/2018,20/08/2018,"Experts from 47 European research infrastructure initiatives and ERICs have agreed on a set of assertions about the nature, the creation and the usage of Persistent Identifiers (PIDs).
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_Persistent%20identifiers_%20Consolidated%20assertions_single%2028_0.pdf,NA
Summary of Virtual Layer Recommendations,FAIR Digital Object Fabric IG,"Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",Interest Group,DOI: 10.15497/RDA00026,RDA Supporting Outputs,20/07/2018,20/08/2018,"This output describes a concept for establishing a comprehensive network of components for the management of digital objects. The concept follows principles of layering and modularity and describes a set of key components required to realize a network for e-infrastructures in practice.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_VirtualLayers_single%2029_0.pdf,NA
Research Data Repository Interoperability WG Final Recommendations,Research Data Repository Interoperability WG,"Thomas Jejkal, David Wilcox",Historical Group,DOI: 10.15497/RDA00025,RDA Endorsed Recommendations,26/06/2018,26/07/2018,"The goal of the RDA Research Data Repository Interoperability WG (RDRIWG) was to achieve consensus on an adoptable approach to facilitating research data repository interoperability for a defined set of initial use cases. The following document presents final recommendations the members of the RDRIWG have agreed on. It describes a general exchange format based on the well-known BagIt specification complemented with BagIt Profiles, another specification defining how to describe the internal structure of BagIt-based packages. In order to achieve a basic level of interoperability with regard to the content of such exchange packages, the WG members have agreed on recommending to include DataCite metadata in each package. The presented recommendations document describes the exchange format itself together with adoption guidelines and information about related efforts. In addition, early adoptions are publicly available at GitHub and referenced within the document.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Research%20Data%20Repository%20Interoperability%20WG%20Final%20Recommendations.pdf,NA
A survey of current practices in data search services,Data Discovery Paradigms IG,"Mingfang Wu, Fotis Psomopoulos, Kathleen Gregory",Interest Group,NA,RDA Supporting Outputs,26/06/2018,26/07/2018,"Relevancy ranking is an important component of making a data repository's search system responsive to data seekers’ needs. The Research Data Alliance (RDA) Data Discovery Paradigms Interest Group is a collaborative activity within our data community which aims to improve data searchability. This survey is intended to gather information about the current practices and lessons learnt by data repositories in implementing relevancy ranking in search systems.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2026_Survey.pdf,NA
Tracing Data - Data Citation Roadmap for Finland,RDA in Finland,NA,RDA Europe National Nodes,NA,Other Outputs (Not official),25/04/2018,NA,"How to cite:
Laine, H (ed.) 2018 Tracing Data - Data Citation Roadmap for Finland. Helsinki, Finland: Finnish Committee for Research Data. URN: http://urn.fi/URN:NBN:fi-fe201804106446
SUMMARY",NA,NA,NA,NA
Session Notes 2018-03-22,Mapping the Landscape IG,"Lesley Wyborn, Ari Asmi, Rowena Davis",Historical Group,NA,Other Outputs (Not official),30/03/2018,NA,"Session notes from RDA P11 (Berlin, Germany). Includes links to session presentation, map index, also attendance sheet and discussion recap. 
",NA,NA,NA,NA
Array Database Assessment Recommendations,Array Database Assessment WG,Peter Baumann,Historical Group,NA,Other Outputs (Not official),20/03/2018,9/5/2018,"


  Array Database Assessment Working Group 



Recommendation Title: Array Databases: Concepts, Standards, Implementations",NA,Natural Sciences,NA,NA
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,Long tail of research data IG,Kathleen Shearer,Historical Group,NA,RDA Supporting Outputs,1/3/2018,1/4/2018,"The “Long Tail of Research Data Interest Group” has been assessing the situation of long tail data over the last three years, and urges the broader community to consider the risks and opportunities related to long-tail data. This document provides seven recommendations for a variety of stakeholders, including governments, funders, research institutions and researchers to help improve the current approach to managing long tail data. We call on the community to work together to create necessary and sufficient conditions to ensure we are able to properly steward these valuable research outputs for future generations of researchers.
",NA,NA,https://www.rd-alliance.org/sites/default/files/Card%20RDA_single%2027_Addressing%20the%20gaps.pdf,NA
Draft for Comment: RDA Code of Conduct,RDA Council Private,"Ingrid Dillo, Mark Leggott",Coordination Group,NA,Other Outputs (Not official),14/12/2017,22/01/2018,NOTE: Original source and credit: http://2012.jsconf.us/#/about & The Ada Initiative. This work is licensed under a Creative Commons Attribution 3.0 Unported License by Amy Nurnberger and Andrew Treloar.,NA,NA,NA,NA
Austin Principles of Data Citation in Linguistics,Linguistics Data IG,"Andrea Berez-Kroeker, Helene N. Andreassen, Lindsay Ferrara",Interest Group,NA,Other Outputs (Not official),12/12/2017,21/12/2017,"Data is central to empirical linguistic research. Linguistic data comes in many different forms, and is collected and processed with a wide range of methods. Data citation recognizes the centrality of data to research. Furthermore, it facilitates verification of claims and repurposing of data for other studies.",NA,NA,NA,NA
