book,word,n
Tracing Data - Data Citation Roadmap for Finland,reference,32
Scalable Dynamic Data Citation Methodology,query,32
Recommendations for a minimal metadata set to aid harmonised discovery of learning resources,user,32
InteroperAble Descriptions of Observable Property Terminologies (I-ADOPT) WG Outputs and Recommendations,terminologies,32
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",research,32
23 Things Physical Samples,https,32
Scholix Metadata Schema for Exchange of Scholarly Communication Links,id,31
Recommendation on PID Kernel Information,attribute,31
Recommendation on PID Kernel Information,principle,31
Metadata Schema for the Persistent Identification of Instruments,values,31
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,type,31
Versioning Data Is About More than Revisions A Conceptual Framework and Proposed Principles,https,30
Tromso recommendations for citation of research data in linguistics,dataset,30
Report prepared at Plenary 3,data,30
Defining Research Software a controversial discussion,doi.org,30
Core Characteristics of Learning Resource Collectors,characteristics,30
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,md_identification,30
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,semantic,30
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",community,29
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",databases,29
Summary of Virtual Layer Recommendations,system,29
Metadata Schema for the Persistent Identification of Instruments,instruments,29
Metadata Schema for the Persistent Identification of Instruments,metadata,29
Defining Research Software a controversial discussion,defining,29
A curriculum for foundational Research Data Science skills for Early Career Researchers,research,29
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,dataset,28
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,fitness,28
Versioning Data Is About More than Revisions A Conceptual Framework and Proposed Principles,1,28
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",https,28
Scholix Metadata Schema for Exchange of Scholarly Communication Links,0,28
practical_policy,practical,28
Metadata Schema for the Persistent Identification of Instruments,persistent,28
Metadata Schema for the Persistent Identification of Instruments,property,28
Metadata Schema for the Persistent Identification of Instruments,schema,28
FAIR4RS Adoption support,principles,28
Eleven Quick Tips for Finding Research Data,research,28
Core Characteristics of Learning Resource Collectors,resource,28
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",repositories,27
Scholix Metadata Schema for Exchange of Scholarly Communication Links,metadata,27
RDAWDS Publishing Data Workflows WG Recommendations,researchers,27
RDATDWG Attribution Metadata Working Group Final Recommendations,metadata,27
RDA DMP Common Standard for Machine-actionable Data Management Plans,data,27
practical_policy,files,27
A curriculum for foundational Research Data Science skills for Early Career Researchers,https,27
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,metadata,27
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,url,27
RDATDWG Attribution Metadata Working Group Final Recommendations,data,26
Eleven Quick Tips for Finding Research Data,tip,26
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",framework,26
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",interoperability,26
A Survey on Adoption Guidelines for the FAIR4RS Principles,adoption,26
A Survey on Adoption Guidelines for the FAIR4RS Principles,fair,26
A curriculum for foundational Research Data Science skills for Early Career Researchers,0,26
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,sr,26
Tromso recommendations for citation of research data in linguistics,author,25
The Life Cycle of Structural Biology Data,doi,25
RDATDWG Attribution Metadata Working Group Final Recommendations,prov,25
practical_policy,attributes,25
practical_policy,constraint,25
Data Type Model and Registry - Data Type Registries (DTR) WG Recommendations,string,25
Data Description Registry Interoperability Model,string,25
Core Characteristics of Learning Resource Collectors,metadata,25
A curriculum for foundational Research Data Science skills for Early Career Researchers,day,25
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,schema:creativework,25
Tromso recommendations for citation of research data in linguistics,citations,24
The FAIR4RS Team Working Together to Make Research Software FAIR,wg,24
Research Data Repository Interoperability WG Final Recommendations,bag,24
Metadata Schema for the Persistent Identification of Instruments,text,24
InteroperAble Descriptions of Observable Property Terminologies (I-ADOPT) WG Outputs and Recommendations,entity,24
InteroperAble Descriptions of Observable Property Terminologies (I-ADOPT) WG Outputs and Recommendations,property,24
Data Type Model and Registry - Data Type Registries (DTR) WG Recommendations,format,24
Data Description Registry Interoperability Model,format,24
Core Characteristics of Learning Resource Collectors,services,24
Tromso recommendations for citation of research data in linguistics,e.g,23
Tromso recommendations for citation of research data in linguistics,university,23
The FAIR4RS Team Working Together to Make Research Software FAIR,principles,23
Research Data Repository Interoperability WG Final Recommendations,platform,23
Research Data Repository Interoperability WG Final Recommendations,required,23
RDAWDS Publishing Data Workflows WG Recommendations,publication,23
InteroperAble Descriptions of Observable Property Terminologies (I-ADOPT) WG Outputs and Recommendations,concepts,23
InteroperAble Descriptions of Observable Property Terminologies (I-ADOPT) WG Outputs and Recommendations,terminology,23
A Survey on Adoption Guidelines for the FAIR4RS Principles,data,23
A Survey on Adoption Guidelines for the FAIR4RS Principles,guidelines,23
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,schema.org,23
23 Things Physical Samples,data,23
23 Things Libraries for Research Data (Supporting Output),research,23
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,data,22
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",resource,22
Research Data Repository Interoperability WG Final Recommendations,files,22
Research Data Repository Interoperability WG Final Recommendations,https,22
Research Data Repository Interoperability WG Final Recommendations,interoperability,22
Research Data Repository Interoperability WG Final Recommendations,wg,22
RDAWDS Publishing Data Workflows WG Recommendations,2015,22
RDA DMP Common Standard for Machine-actionable Data Management Plans,dmp,22
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",literature,22
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",model,22
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,creativework,22
23 Things Physical Samples,samples,22
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",research,21
Scalable Dynamic Data Citation Methodology,set,21
Research Data Repository Interoperability Primer,api,21
RDATDWG Attribution Metadata Working Group Final Recommendations,activity,21
Metadata Standards Directory Working Group Recommendations,dcc,21
FAIR4RS Adoption support,research,21
Data Type Model and Registry - Data Type Registries (DTR) WG Recommendations,registries,21
A Survey on Adoption Guidelines for the FAIR4RS Principles,metadata,21
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,citation,21
A Collection of Crosswalks from Fifteen Research Data Schemas to Schema.org,description,21
Research Data Repository Interoperability Primer,interoperability,20
RDATDWG Attribution Metadata Working Group Final Recommendations,wg,20
Metadata Standards Directory Working Group Recommendations,data,20
Metadata Standards Directory Working Group Recommendations,entries,20
Metadata Standards Directory Working Group Recommendations,standard,20
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,dft,20
A curriculum for foundational Research Data Science skills for Early Career Researchers,carpentry,20
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,e.g,20
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,support,20
23 Things Libraries for Research Data (Supporting Output),https,20
23 Things Libraries for Research Data (Supporting Output),tinyurl.com,20
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",policies,19
"The FAIRsharing Registry and Recommendations Interlinking Standards, Databases and Data Policies",resources,19
Research Data Repository Interoperability Primer,1,19
Research Data Repository Interoperability Primer,standard,19
RDAWDS Publishing Data Workflows WG Recommendations,al,19
RDATDWG Attribution Metadata Working Group Final Recommendations,agent,19
RDA DMP Common Standard for Machine-actionable Data Management Plans,application,19
RDA DMP Common Standard for Machine-actionable Data Management Plans,profile,19
Metadata Standards Directory Working Group Recommendations,pages,19
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,data,19
A curriculum for foundational Research Data Science skills for Early Career Researchers,science,19
Metadata Standards Directory Working Group Recommendations,github,18
Metadata Principles,data,18
Data Type Model and Registry - Data Type Registries (DTR) WG Recommendations,wg,18
Data Description Registry Interoperability Model,description,18
Data Description Registry Interoperability Model,model,18
Data Description Registry Interoperability Model,wg,18
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,alignment,18
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,metadata,18
Wheat Data Interoperability Recommendations,ontology,17
Research Data Repository Interoperability Primer,ddi,17
Research Data Repository Interoperability Primer,gaps,17
RDAWDS Publishing Data Workflows WG Recommendations,collection,17
RDATDWG Attribution Metadata Working Group Final Recommendations,collections,17
RDA DMP Common Standard for Machine-actionable Data Management Plans,machine,17
RDA Data Usage Metrics WG Recommendations,data,17
Eleven Quick Tips for Finding Research Data,repositories,17
"An open, universal literature-data cross-linking service - RDAWDS Publishing Data Services WGRecommendations",services,17
A curriculum for foundational Research Data Science skills for Early Career Researchers,30,17
23 Things Physical Samples,physical,17
RDA DMP Common Standard for Machine-actionable Data Management Plans,actionable,16
Principles and best practices in data versioning for all data sets big and small,data,16
Data Type Model and Registry - Data Type Registries (DTR) WG Recommendations,model,16
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,management,16
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,semantics,16
39 Hints to Facilitate the Use of Semantics for Data on Agriculture and Nutrition,srs,16
23 Things Physical Samples,doi.org,16
23 Things Libraries for Research Data (Supporting Output),librarians,16
Wheat Data Interoperability Recommendations,information,15
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,mark,15
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,oval,15
RDATDWG Attribution Metadata Working Group Final Recommendations,research,15
RDATDWG Attribution Metadata Working Group Final Recommendations,role,15
RDATDWG Attribution Metadata Working Group Final Recommendations,vivo,15
Metadata Principles,software,15
FAIR4RS Adoption support,adoption,15
A curriculum for foundational Research Data Science skills for Early Career Researchers,doi.org,15
A curriculum for foundational Research Data Science skills for Early Career Researchers,responsible,15
23 Things Physical Samples,research,15
Wheat Data Interoperability Recommendations,interoperability,14
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,checklist,14
The FAIR4RS Team Working Together to Make Research Software FAIR,data,14
Scalable Dynamic Data Citation Methodology,queries,14
RDA DMP Common Standard for Machine-actionable Data Management Plans,common,14
RDA DMP Common Standard for Machine-actionable Data Management Plans,information,14
RDA DMP Common Standard for Machine-actionable Data Management Plans,management,14
Eleven Quick Tips for Finding Research Data,7,14
Wheat Data Interoperability Recommendations,ontologies,13
Wheat Data Interoperability Recommendations,wdi,13
Wheat Data Interoperability Recommendations,wg,13
The FAIR4RS Team Working Together to Make Research Software FAIR,engagement,13
Metadata Standards Directory Working Group Recommendations,3,13
Metadata Standards Directory Working Group Recommendations,tools,13
FAIR4RS Adoption support,https,13
Eleven Quick Tips for Finding Research Data,access,13
Eleven Quick Tips for Finding Research Data,repository,13
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,communities,13
Wheat Data Interoperability Recommendations,research,12
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,repository,12
Report prepared at Plenary 3,structural,12
RDA DMP Common Standard for Machine-actionable Data Management Plans,rda,12
FAIR4RS Adoption support,0,12
Eleven Quick Tips for Finding Research Data,2018,12
Eleven Quick Tips for Finding Research Data,results,12
Wheat Data Interoperability Recommendations,1,11
Wheat Data Interoperability Recommendations,dr,11
Wheat Data Interoperability Recommendations,guidelines,11
Wheat Data Interoperability Recommendations,international,11
Scalable Dynamic Data Citation Methodology,citation,11
Metadata Principles,attributes,11
Metadata Principles,common,11
Metadata Principles,datasets,11
Metadata Principles,research,11
FAIR4RS Adoption support,data,11
FAIR4RS Adoption support,esmvaltool,11
FAIR4RS Adoption support,fair,11
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,datasets,11
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,researchers,11
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,assessment,10
The FAIR4RS Team Working Together to Make Research Software FAIR,2021,10
The FAIR4RS Team Working Together to Make Research Software FAIR,committee,10
The FAIR4RS Team Working Together to Make Research Software FAIR,guidelines,10
The FAIR4RS Team Working Together to Make Research Software FAIR,outputs,10
Scalable Dynamic Data Citation Methodology,timestamp,10
RDA Data Usage Metrics WG Recommendations,metrics,10
RDA Data Usage Metrics WG Recommendations,usage,10
Metadata Principles,schemes,10
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,funding,10
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,support,10
23 Things Physical Samples,metadata,10
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,criteria,9
Sharing COVID-19 Epidemiology Data,data,9
Scalable Dynamic Data Citation Methodology,pid,9
Principles and best practices in data versioning for all data sets big and small,versioning,9
Metadata Principles,contextual,9
Metadata Principles,required,9
Metadata Principles,scheme,9
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,interact,9
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,diverse,9
Addressing the Gaps Recommendations for Supporting the Long Tail of Research Data,rda,9
23 Things Libraries for Research Data (Supporting Output),digital,9
Scalable Dynamic Data Citation Methodology,sets,8
Scalable Dynamic Data Citation Methodology,store,8
Report prepared at Plenary 3,biology,8
23 Things Physical Samples,http,8
23 Things Libraries for Research Data (Supporting Output),libraries,8
23 Things Libraries for Research Data (Supporting Output),management,8
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,coretrustseal,7
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,description,7
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,evaluation,7
WDSRDA Assessment of Data Fitness for Use WG Outputs and Recommendations,https,7
Sharing COVID-19 Epidemiology Data,19,7
Sharing COVID-19 Epidemiology Data,covid,7
Scalable Dynamic Data Citation Methodology,wg,7
Report prepared at Plenary 3,infrastructures,7
23 Things Physical Samples,al,7
23 Things Physical Samples,collections,7
23 Things Physical Samples,identifiers,7
23 Things Physical Samples,persistent,7
23 Things Libraries for Research Data (Supporting Output),community,7
23 Things Libraries for Research Data (Supporting Output),information,7
23 Things Libraries for Research Data (Supporting Output),researchers,7
Report prepared at Plenary 3,management,6
Report prepared at Plenary 3,sb,6
Principles and best practices in data versioning for all data sets big and small,practices,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,conceptualization,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,core,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,eudat,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,experts,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,flyer,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,meetings,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,rda,6
Basic Vocabulary of Foundational Terminology Query Tool - Data Foundation and Terminology (DFT) WG Recommendations,terminology,6
Sharing COVID-19 Epidemiology Data,epidemiology,5
Report prepared at Plenary 3,techniques,5
RDA Data Usage Metrics WG Recommendations,wg,5
Principles and best practices in data versioning for all data sets big and small,principles,5
Sharing COVID-19 Epidemiology Data,guidelines,4
Report prepared at Plenary 3,component,4
Report prepared at Plenary 3,experimental,4
Report prepared at Plenary 3,infrastructure,4
Report prepared at Plenary 3,meeting,4
Report prepared at Plenary 3,multi,4
Report prepared at Plenary 3,rda,4
Report prepared at Plenary 3,research,4
Principles and best practices in data versioning for all data sets big and small,research,4
Principles and best practices in data versioning for all data sets big and small,sets,4
Sharing COVID-19 Epidemiology Data,rda,3
Sharing COVID-19 Epidemiology Data,system,3
RDA Data Usage Metrics WG Recommendations,community,3
RDA Data Usage Metrics WG Recommendations,recommendations,3
RDA Data Usage Metrics WG Recommendations,research,3
Sharing COVID-19 Epidemiology Data,coordinated,2
Sharing COVID-19 Epidemiology Data,driven,2
Sharing COVID-19 Epidemiology Data,epidemiological,2
Sharing COVID-19 Epidemiology Data,framework,2
Sharing COVID-19 Epidemiology Data,global,2
Sharing COVID-19 Epidemiology Data,newly,2
Sharing COVID-19 Epidemiology Data,output,2
Sharing COVID-19 Epidemiology Data,rapid,2
Sharing COVID-19 Epidemiology Data,related,2
Sharing COVID-19 Epidemiology Data,support,2
Sharing COVID-19 Epidemiology Data,supporting,2
Sharing COVID-19 Epidemiology Data,threats,2
RDA Data Usage Metrics WG Recommendations,adoption,2
RDA Data Usage Metrics WG Recommendations,conversations,2
RDA Data Usage Metrics WG Recommendations,count,2
RDA Data Usage Metrics WG Recommendations,development,2
RDA Data Usage Metrics WG Recommendations,limitations,2
RDA Data Usage Metrics WG Recommendations,normalizing,2
RDA Data Usage Metrics WG Recommendations,repositories,2
Principles and best practices in data versioning for all data sets big and small,recommendations,2
Principles and best practices in data versioning for all data sets big and small,reproducibility,2
Principles and best practices in data versioning for all data sets big and small,systematic,2
Principles and best practices in data versioning for all data sets big and small,2020,1
Principles and best practices in data versioning for all data sets big and small,38,1
Principles and best practices in data versioning for all data sets big and small,accessed,1
Principles and best practices in data versioning for all data sets big and small,adding,1
Principles and best practices in data versioning for all data sets big and small,alliance.org,1
Principles and best practices in data versioning for all data sets big and small,analysis,1
Principles and best practices in data versioning for all data sets big and small,attribution,1
Principles and best practices in data versioning for all data sets big and small,august,1
Principles and best practices in data versioning for all data sets big and small,availability,1
Principles and best practices in data versioning for all data sets big and small,based,1
Principles and best practices in data versioning for all data sets big and small,central,1
Principles and best practices in data versioning for all data sets big and small,challenge,1
Principles and best practices in data versioning for all data sets big and small,cite,1
Principles and best practices in data versioning for all data sets big and small,collected,1
Principles and best practices in data versioning for all data sets big and small,contributed,1
Principles and best practices in data versioning for all data sets big and small,dataset,1
Principles and best practices in data versioning for all data sets big and small,datasets,1
Principles and best practices in data versioning for all data sets big and small,demand,1
Principles and best practices in data versioning for all data sets big and small,development,1
Principles and best practices in data versioning for all data sets big and small,document,1
Principles and best practices in data versioning for all data sets big and small,domains,1
Principles and best practices in data versioning for all data sets big and small,element,1
Principles and best practices in data versioning for all data sets big and small,enables,1
Principles and best practices in data versioning for all data sets big and small,enhances,1
Principles and best practices in data versioning for all data sets big and small,exact,1
Principles and best practices in data versioning for all data sets big and small,extract,1
Principles and best practices in data versioning for all data sets big and small,funding,1
Principles and best practices in data versioning for all data sets big and small,growing,1
Principles and best practices in data versioning for all data sets big and small,https,1
Principles and best practices in data versioning for all data sets big and small,identifiers,1
Principles and best practices in data versioning for all data sets big and small,identify,1
Principles and best practices in data versioning for all data sets big and small,impact,1
Principles and best practices in data versioning for all data sets big and small,increased,1
Principles and best practices in data versioning for all data sets big and small,management,1
Principles and best practices in data versioning for all data sets big and small,means,1
Principles and best practices in data versioning for all data sets big and small,organisation,1
Principles and best practices in data versioning for all data sets big and small,organisations,1
Principles and best practices in data versioning for all data sets big and small,outcomes,1
Principles and best practices in data versioning for all data sets big and small,persistent,1
Principles and best practices in data versioning for all data sets big and small,person,1
Principles and best practices in data versioning for all data sets big and small,produced,1
Principles and best practices in data versioning for all data sets big and small,remote,1
Principles and best practices in data versioning for all data sets big and small,researchers,1
Principles and best practices in data versioning for all data sets big and small,resources,1
Principles and best practices in data versioning for all data sets big and small,results,1
Principles and best practices in data versioning for all data sets big and small,scale,1
Principles and best practices in data versioning for all data sets big and small,services,1
Principles and best practices in data versioning for all data sets big and small,set,1
Principles and best practices in data versioning for all data sets big and small,solution,1
Principles and best practices in data versioning for all data sets big and small,standard,1
Principles and best practices in data versioning for all data sets big and small,underpin,1
Principles and best practices in data versioning for all data sets big and small,variety,1
Principles and best practices in data versioning for all data sets big and small,version,1
Principles and best practices in data versioning for all data sets big and small,wg,1
Principles and best practices in data versioning for all data sets big and small,www.rd,1
RDA National PID Strategies Guide and Checklist.pdf,national,113
RDA National PID Strategies Guide and Checklist.pdf,pid,111
RDA National PID Strategies Guide and Checklist.pdf,research,96
RDA National PID Strategies Guide and Checklist.pdf,strategy,63
RDA National PID Strategies Guide and Checklist.pdf,strategies,53
RDA National PID Strategies Guide and Checklist.pdf,guide,37
RDA National PID Strategies Guide and Checklist.pdf,checklist,32
RDA National PID Strategies Guide and Checklist.pdf,doi,31
GORC IG Typology and Definitions.pdf,commons,29
RDA National PID Strategies Guide and Checklist.pdf,data,27
RDA National PID Strategies Guide and Checklist.pdf,facilitate,25
RDA National PID Strategies Guide and Checklist.pdf,orcid,25
GORC IG Typology and Definitions.pdf,research,20
GORC IG Typology and Definitions.pdf,data,18
GORC IG Typology and Definitions.pdf,services,12
GORC IG Typology and Definitions.pdf,definitions,9
GORC IG Typology and Definitions.pdf,elements,9
GORC IG Typology and Definitions.pdf,infrastructure,9
GORC IG Typology and Definitions.pdf,tools,8
GORC IG Typology and Definitions.pdf,include,7
GORC IG Typology and Definitions.pdf,typology,7
